INSERT INTO PT_Availability (ct_userid, avail_sd, avail_ed) VALUES
('psiretqb', '2020-10-28', '2020-10-29'),
('psiretqb', '2020-11-08', '2020-11-10'),
('psiretqb', '2020-11-25', '2020-11-26'),
('psiretqb', '2020-11-29', '2020-11-30'),
('ldoneldk2', '2020-10-02', '2020-10-04'),
('ldoneldk2', '2020-10-05', '2020-10-05'),
('ldoneldk2', '2020-10-06', '2020-10-06'),
('ldoneldk2', '2020-10-08', '2020-10-08'),
('ldoneldk2', '2020-10-13', '2020-10-13'),
('ldoneldk2', '2020-10-17', '2020-10-17'),
('ldoneldk2', '2020-10-22', '2020-10-22'),
('ldoneldk2', '2020-10-30', '2020-10-31'),
('ldoneldk2', '2020-11-04', '2020-11-06'),
('ldoneldk2', '2020-11-10', '2020-11-15'),
('ldoneldk2', '2020-11-25', '2020-11-25'),
('ldoneldk2', '2020-11-27', '2020-11-29'),
('ebeardondc', '2020-10-07', '2020-10-09'),
('ebeardondc', '2020-10-11', '2020-10-11'),
('ebeardondc', '2020-10-12', '2020-10-13'),
('ebeardondc', '2020-10-14', '2020-10-16'),
('ebeardondc', '2020-10-17', '2020-10-18'),
('ebeardondc', '2020-10-19', '2020-10-24'),
('ebeardondc', '2020-10-26', '2020-10-31'),
('ebeardondc', '2020-11-11', '2020-11-11'),
('ebeardondc', '2020-11-28', '2020-11-30'),
('rcraino8', '2020-10-02', '2020-10-07'),
('rcraino8', '2020-10-12', '2020-10-12'),
('rcraino8', '2020-10-16', '2020-10-18'),
('rcraino8', '2020-10-25', '2020-10-30'),
('rcraino8', '2020-11-08', '2020-11-10'),
('rcraino8', '2020-11-22', '2020-11-22'),
('rcraino8', '2020-11-30', '2020-11-30'),
('ularkworthyq6', '2020-10-04', '2020-10-06'),
('ularkworthyq6', '2020-10-09', '2020-10-11'),
('ularkworthyq6', '2020-11-08', '2020-11-08'),
('ularkworthyq6', '2020-11-29', '2020-11-29'),
('gjochensrm', '2020-10-04', '2020-10-04'),
('gjochensrm', '2020-10-06', '2020-10-06'),
('gjochensrm', '2020-10-12', '2020-10-12'),
('gjochensrm', '2020-10-13', '2020-10-14'),
('gjochensrm', '2020-10-17', '2020-10-17'),
('gjochensrm', '2020-10-20', '2020-10-21'),
('gjochensrm', '2020-10-24', '2020-10-24'),
('gjochensrm', '2020-10-28', '2020-10-30'),
('gjochensrm', '2020-11-07', '2020-11-09'),
('gjochensrm', '2020-11-11', '2020-11-11'),
('gjochensrm', '2020-11-17', '2020-11-18'),
('gjochensrm', '2020-11-23', '2020-11-25'),
('gjochensrm', '2020-11-27', '2020-11-27'),
('rrosgene', '2020-10-05', '2020-10-06'),
('rrosgene', '2020-10-08', '2020-10-13'),
('rrosgene', '2020-10-18', '2020-10-18'),
('rrosgene', '2020-10-22', '2020-10-22'),
('rrosgene', '2020-10-26', '2020-10-27'),
('rrosgene', '2020-10-29', '2020-10-30'),
('rrosgene', '2020-11-01', '2020-11-02'),
('rrosgene', '2020-11-15', '2020-11-16'),
('rrosgene', '2020-11-29', '2020-11-30'),
('omcgeady4y', '2020-10-01', '2020-10-03'),
('omcgeady4y', '2020-10-09', '2020-10-09'),
('omcgeady4y', '2020-10-11', '2020-10-11'),
('omcgeady4y', '2020-10-13', '2020-10-13'),
('omcgeady4y', '2020-10-15', '2020-10-15'),
('omcgeady4y', '2020-10-22', '2020-10-22'),
('omcgeady4y', '2020-10-24', '2020-10-24'),
('omcgeady4y', '2020-10-26', '2020-10-27'),
('omcgeady4y', '2020-11-01', '2020-11-02'),
('omcgeady4y', '2020-11-04', '2020-11-09'),
('omcgeady4y', '2020-11-10', '2020-11-14'),
('omcgeady4y', '2020-11-20', '2020-11-24'),
('omcgeady4y', '2020-11-26', '2020-11-28'),
('carniz8j', '2020-10-02', '2020-10-02'),
('carniz8j', '2020-10-04', '2020-10-09'),
('carniz8j', '2020-10-12', '2020-10-12'),
('carniz8j', '2020-10-17', '2020-10-17'),
('carniz8j', '2020-10-23', '2020-10-23'),
('carniz8j', '2020-10-26', '2020-10-27'),
('carniz8j', '2020-11-01', '2020-11-02'),
('carniz8j', '2020-11-04', '2020-11-04'),
('carniz8j', '2020-11-22', '2020-11-24'),
('carniz8j', '2020-11-25', '2020-11-26'),
('carntzenlz', '2020-10-01', '2020-10-01'),
('carntzenlz', '2020-10-05', '2020-10-06'),
('carntzenlz', '2020-10-11', '2020-10-12'),
('carntzenlz', '2020-10-17', '2020-10-19'),
('carntzenlz', '2020-10-22', '2020-10-22'),
('carntzenlz', '2020-10-26', '2020-10-26'),
('carntzenlz', '2020-11-02', '2020-11-06'),
('carntzenlz', '2020-11-10', '2020-11-12'),
('carntzenlz', '2020-11-18', '2020-11-22'),
('carntzenlz', '2020-11-23', '2020-11-23'),
('carntzenlz', '2020-11-26', '2020-11-28'),
('emidsonmy', '2020-10-10', '2020-10-10'),
('emidsonmy', '2020-10-11', '2020-10-11'),
('emidsonmy', '2020-10-19', '2020-10-20'),
('emidsonmy', '2020-10-24', '2020-10-26'),
('emidsonmy', '2020-11-02', '2020-11-03'),
('emidsonmy', '2020-11-15', '2020-11-16'),
('emidsonmy', '2020-11-22', '2020-11-23'),
('mmaria63', '2020-10-06', '2020-10-06'),
('mmaria63', '2020-10-09', '2020-10-10'),
('mmaria63', '2020-10-13', '2020-10-13'),
('mmaria63', '2020-10-16', '2020-10-16'),
('mmaria63', '2020-10-31', '2020-10-31'),
('mmaria63', '2020-11-05', '2020-11-05'),
('mmaria63', '2020-11-22', '2020-11-23'),
('mmaria63', '2020-11-28', '2020-11-28'),
('mmaria63', '2020-11-29', '2020-11-30'),
('cshreeve7b', '2020-10-13', '2020-10-18'),
('cshreeve7b', '2020-10-20', '2020-10-23'),
('cshreeve7b', '2020-10-26', '2020-10-26'),
('cshreeve7b', '2020-10-28', '2020-10-29'),
('cshreeve7b', '2020-11-17', '2020-11-18'),
('cshreeve7b', '2020-11-24', '2020-11-24'),
('cshreeve7b', '2020-11-25', '2020-11-28'),
('cshreeve7b', '2020-11-29', '2020-11-29'),
('mjorioz1r', '2020-10-04', '2020-10-04'),
('mjorioz1r', '2020-10-09', '2020-10-09'),
('mjorioz1r', '2020-10-12', '2020-10-12'),
('mjorioz1r', '2020-10-25', '2020-10-29'),
('mjorioz1r', '2020-10-30', '2020-10-30'),
('mjorioz1r', '2020-11-06', '2020-11-06'),
('mjorioz1r', '2020-11-10', '2020-11-10'),
('mjorioz1r', '2020-11-17', '2020-11-18'),
('mjorioz1r', '2020-11-20', '2020-11-25'),
('mjorioz1r', '2020-11-27', '2020-11-27'),
('mjorioz1r', '2020-11-28', '2020-11-29'),
('lfilippoou', '2020-10-05', '2020-10-06'),
('lfilippoou', '2020-10-17', '2020-10-17'),
('lfilippoou', '2020-10-20', '2020-10-21'),
('lfilippoou', '2020-10-24', '2020-10-26'),
('lfilippoou', '2020-11-12', '2020-11-12'),
('lfilippoou', '2020-11-15', '2020-11-17'),
('lfilippoou', '2020-11-19', '2020-11-19'),
('lfilippoou', '2020-11-23', '2020-11-24'),
('lfilippoou', '2020-11-29', '2020-11-29'),
('sogilviemb', '2020-10-22', '2020-10-22'),
('sogilviemb', '2020-10-23', '2020-10-24'),
('sogilviemb', '2020-10-26', '2020-10-29'),
('sogilviemb', '2020-11-02', '2020-11-02'),
('sogilviemb', '2020-11-15', '2020-11-15'),
('sogilviemb', '2020-11-18', '2020-11-18'),
('sogilviemb', '2020-11-19', '2020-11-19'),
('sogilviemb', '2020-11-23', '2020-11-25'),
('sogilviemb', '2020-11-28', '2020-11-30'),
('bmithanlo', '2020-10-03', '2020-10-07'),
('bmithanlo', '2020-10-22', '2020-10-24'),
('bmithanlo', '2020-10-29', '2020-10-30'),
('bmithanlo', '2020-11-04', '2020-11-04'),
('bmithanlo', '2020-11-05', '2020-11-05'),
('bmithanlo', '2020-11-13', '2020-11-15'),
('bmithanlo', '2020-11-19', '2020-11-21'),
('bmithanlo', '2020-11-24', '2020-11-25'),
('ddenisyukw', '2020-10-02', '2020-10-03'),
('ddenisyukw', '2020-10-09', '2020-10-14'),
('ddenisyukw', '2020-10-24', '2020-10-28'),
('ddenisyukw', '2020-10-30', '2020-11-04'),
('ddenisyukw', '2020-11-12', '2020-11-17'),
('ddenisyukw', '2020-11-18', '2020-11-18'),
('ddenisyukw', '2020-11-22', '2020-11-22'),
('ddenisyukw', '2020-11-24', '2020-11-25'),
('ddenisyukw', '2020-11-29', '2020-11-30'),
('aespadasaz', '2020-10-03', '2020-10-03'),
('aespadasaz', '2020-10-06', '2020-10-08'),
('aespadasaz', '2020-10-13', '2020-10-14'),
('aespadasaz', '2020-10-30', '2020-10-30'),
('aespadasaz', '2020-11-01', '2020-11-01'),
('aespadasaz', '2020-11-10', '2020-11-10'),
('aespadasaz', '2020-11-11', '2020-11-12'),
('aespadasaz', '2020-11-13', '2020-11-13'),
('aespadasaz', '2020-11-20', '2020-11-23'),
('twarrengk', '2020-10-03', '2020-10-03'),
('twarrengk', '2020-10-04', '2020-10-04'),
('twarrengk', '2020-10-14', '2020-10-16'),
('twarrengk', '2020-10-19', '2020-10-23'),
('twarrengk', '2020-11-01', '2020-11-05'),
('twarrengk', '2020-11-13', '2020-11-16'),
('twarrengk', '2020-11-20', '2020-11-23'),
('twarrengk', '2020-11-24', '2020-11-24'),
('twarrengk', '2020-11-25', '2020-11-26'),
('edrysdalepp', '2020-10-02', '2020-10-07'),
('edrysdalepp', '2020-10-12', '2020-10-12'),
('edrysdalepp', '2020-10-17', '2020-10-18'),
('edrysdalepp', '2020-10-22', '2020-10-22'),
('edrysdalepp', '2020-10-27', '2020-10-27'),
('edrysdalepp', '2020-10-31', '2020-11-01'),
('edrysdalepp', '2020-11-06', '2020-11-07'),
('edrysdalepp', '2020-11-11', '2020-11-16'),
('edrysdalepp', '2020-11-17', '2020-11-20'),
('edrysdalepp', '2020-11-21', '2020-11-23'),
('edrysdalepp', '2020-11-26', '2020-11-28'),
('spinsonl7', '2020-10-16', '2020-10-19'),
('spinsonl7', '2020-10-24', '2020-10-25'),
('spinsonl7', '2020-11-01', '2020-11-01'),
('spinsonl7', '2020-11-04', '2020-11-04'),
('spinsonl7', '2020-11-13', '2020-11-13'),
('spinsonl7', '2020-11-18', '2020-11-20'),
('spinsonl7', '2020-11-24', '2020-11-24'),
('spinsonl7', '2020-11-26', '2020-11-28'),
('mransburybw', '2020-10-01', '2020-10-02'),
('mransburybw', '2020-10-04', '2020-10-05'),
('mransburybw', '2020-10-23', '2020-10-25'),
('mransburybw', '2020-10-27', '2020-10-27'),
('mransburybw', '2020-10-29', '2020-11-01'),
('mransburybw', '2020-11-03', '2020-11-05'),
('mransburybw', '2020-11-06', '2020-11-09'),
('mransburybw', '2020-11-17', '2020-11-17'),
('mransburybw', '2020-11-22', '2020-11-22'),
('rmcnairi9', '2020-10-09', '2020-10-10'),
('rmcnairi9', '2020-10-14', '2020-10-14'),
('rmcnairi9', '2020-10-25', '2020-10-25'),
('rmcnairi9', '2020-10-26', '2020-10-28'),
('rmcnairi9', '2020-11-02', '2020-11-02'),
('rmcnairi9', '2020-11-03', '2020-11-04'),
('rmcnairi9', '2020-11-16', '2020-11-18'),
('rmcnairi9', '2020-11-20', '2020-11-20'),
('rmcnairi9', '2020-11-22', '2020-11-22'),
('mfilipiccd', '2020-10-01', '2020-10-01'),
('mfilipiccd', '2020-10-02', '2020-10-02'),
('mfilipiccd', '2020-10-17', '2020-10-19'),
('mfilipiccd', '2020-10-27', '2020-10-27'),
('mfilipiccd', '2020-11-06', '2020-11-08'),
('mfilipiccd', '2020-11-11', '2020-11-14'),
('mfilipiccd', '2020-11-23', '2020-11-24'),
('mfilipiccd', '2020-11-25', '2020-11-25'),
('mfilipiccd', '2020-11-27', '2020-11-27'),
('iguntripad', '2020-10-03', '2020-10-04'),
('iguntripad', '2020-10-07', '2020-10-09'),
('iguntripad', '2020-10-11', '2020-10-11'),
('iguntripad', '2020-10-16', '2020-10-16'),
('iguntripad', '2020-10-22', '2020-10-23'),
('iguntripad', '2020-10-26', '2020-10-26'),
('iguntripad', '2020-11-03', '2020-11-06'),
('iguntripad', '2020-11-07', '2020-11-07'),
('iguntripad', '2020-11-08', '2020-11-09'),
('iguntripad', '2020-11-17', '2020-11-21'),
('iguntripad', '2020-11-24', '2020-11-26'),
('sjoberne4o', '2020-10-09', '2020-10-11'),
('sjoberne4o', '2020-10-15', '2020-10-15'),
('sjoberne4o', '2020-10-19', '2020-10-19'),
('sjoberne4o', '2020-10-28', '2020-11-02'),
('sjoberne4o', '2020-11-05', '2020-11-05'),
('sjoberne4o', '2020-11-12', '2020-11-12'),
('sjoberne4o', '2020-11-16', '2020-11-16'),
('sjoberne4o', '2020-11-24', '2020-11-25'),
('satcheson42', '2020-10-01', '2020-10-04'),
('satcheson42', '2020-10-07', '2020-10-07'),
('satcheson42', '2020-10-20', '2020-10-21'),
('satcheson42', '2020-10-25', '2020-10-26'),
('satcheson42', '2020-10-29', '2020-10-29'),
('satcheson42', '2020-11-07', '2020-11-10'),
('satcheson42', '2020-11-16', '2020-11-17'),
('satcheson42', '2020-11-29', '2020-11-30');
